188001,0.118,0.235,11.415
188011,1.687,0.000,12.043
188021,1.687,-1.138,11.650
188031,3.491,-3.570,11.493
188041,5.217,-3.570,11.611
188051,4.707,-3.099,11.493
188061,2.942,-1.216,11.493
188071,2.001,0.275,12.199
188081,1.294,0.392,11.493
188091,-1.020,2.824,11.454
188101,-2.589,2.236,11.180
188111,-2.981,2.118,11.219
188121,-2.118,2.040,11.336
188131,-0.471,0.314,11.258
188141,0.353,1.608,11.964
188151,3.020,-2.157,11.572
188161,4.590,-2.824,11.454
188171,5.021,-2.118,11.493
188181,3.844,-1.412,11.572
188191,2.550,-1.216,11.297
188201,1.491,0.588,11.807
188211,1.059,-1.138,11.533
188221,-2.040,2.903,11.493
188231,-3.687,4.746,11.533
188241,-2.707,1.765,11.297
188251,-0.824,-0.706,10.983
188261,0.039,0.235,11.493
188271,1.216,0.785,12.121
188281,3.452,-1.373,11.572
188291,5.178,-3.962,11.493
188301,4.786,-3.060,11.493
188311,2.903,-0.941,11.533
188321,1.961,0.157,11.964
188331,1.294,0.824,11.768
188341,-0.628,1.922,11.493
188351,-2.314,1.765,11.062
188361,-3.177,2.942,11.140
188371,-2.393,2.667,11.336
188381,-0.628,0.196,11.180
188391,-0.628,1.255,11.768
188401,0.196,-2.040,11.650
188411,2.824,-2.040,11.533
188421,4.354,-2.314,11.533
188431,4.982,-2.275,11.533
188441,4.158,-1.844,11.572
188451,2.628,-1.334,11.219
188461,1.530,0.510,11.768
188471,1.216,-1.098,11.454
188481,-1.922,3.334,11.650
188491,-3.609,4.236,11.533
188501,-2.707,1.294,11.454
188511,-1.020,-0.353,11.140
188521,0.000,0.235,11.533
188531,0.902,1.216,12.003
188541,3.373,-1.608,11.572
188551,5.178,-4.080,11.415
188561,4.943,-2.942,11.572
188571,3.060,-0.824,11.572
188581,2.040,0.000,12.082
188591,1.255,0.785,11.690
188601,-0.078,0.902,11.533
188611,-2.118,1.648,11.180
188621,-3.334,3.805,11.180
188631,-2.511,2.942,11.297
188641,-0.549,-0.039,11.101
188651,0.157,0.941,11.572
188661,2.511,-1.726,11.650
188671,4.040,-1.804,11.611
188681,4.982,-2.628,11.533
188691,4.236,-2.354,11.415
188701,2.667,-1.412,11.258
188711,1.608,0.431,11.807
188721,1.216,-0.745,11.219
188731,-1.922,3.687,11.650
188741,-3.452,3.805,11.415
188751,-2.785,1.098,11.376
188761,-2.785,0.235,11.219
188771,-1.294,0.353,11.572
188781,-0.118,0.353,11.925
188791,0.667,1.687,11.533
188801,3.334,-1.726,11.533
188811,5.217,-3.962,11.454
188821,5.060,-2.746,11.533
188831,3.217,-0.706,11.650
188841,2.197,-0.196,12.160
188851,1.255,0.785,11.611
188861,0.196,0.275,11.454
188871,-2.040,1.804,11.376
188881,-3.452,4.236,11.297
188891,-2.589,2.824,11.297
188901,-0.510,-0.392,11.101
188911,0.118,0.628,11.611
188921,2.275,-1.216,11.690
188931,3.805,-1.451,11.650
188941,4.982,-2.903,11.533
188951,4.433,-2.707,11.493
188961,2.864,-1.412,11.376
188971,1.726,0.471,12.160
188981,1.216,-0.392,11.101
188991,-1.608,3.609,11.572
189001,-3.177,3.295,11.336
189011,-2.903,1.373,11.336
189021,-1.648,0.902,11.297
189031,-0.235,0.235,11.376
189041,0.471,1.883,12.043
189051,3.256,-2.079,11.454
189061,5.060,-3.648,11.376
189071,4.982,-2.314,11.454
189081,3.452,-0.863,11.611
189091,2.393,-0.863,11.886
189101,1.255,0.706,11.729
189111,0.588,-0.706,11.415
189121,-2.040,2.157,11.493
189131,-2.040,4.746,11.376
189141,-3.648,2.471,11.297
189151,-2.628,2.471,11.140
189161,-0.628,-0.706,11.493
