41751,1.804,0.196,11.611
41761,1.608,0.078,11.611
41771,1.451,-0.039,11.611
41781,1.373,0.235,11.650
41791,1.412,-0.039,11.611
41801,1.294,0.314,11.611
41811,1.098,0.588,11.611
41821,0.706,-0.275,11.415
41831,-0.039,-0.471,11.336
41841,-0.353,-0.863,11.258
41851,-0.235,-0.902,11.297
41861,0.039,-0.353,11.415
41871,0.431,0.078,11.533
41881,0.902,0.353,11.611
41891,1.020,-0.118,11.611
41901,0.902,0.196,11.611
41911,1.020,-0.235,11.611
41921,1.098,0.431,11.611
41931,1.098,0.510,11.611
41941,1.412,0.392,11.690
41951,1.804,0.392,11.729
41961,1.922,0.431,11.690
41971,1.922,0.431,11.690
41981,1.765,0.196,11.650
41991,1.608,0.000,11.690
42001,1.412,0.039,11.572
42011,1.294,0.196,11.572
42021,1.255,0.275,11.611
42031,1.098,0.196,11.650
42041,0.941,0.549,11.768
42051,0.549,-0.588,11.454
42061,-0.118,-0.667,11.258
42071,-0.471,-0.588,11.219
42081,-0.196,-0.706,11.297
42091,0.118,-0.431,11.454
42101,0.588,0.078,11.454
42111,0.824,0.549,11.572
42121,1.020,-0.314,11.572
42131,0.745,0.235,11.611
42141,0.863,-0.235,11.611
42151,1.098,0.275,11.729
42161,1.334,0.667,11.729
42171,1.726,0.431,11.729
42181,1.922,0.314,11.729
42191,1.844,0.392,11.729
42201,1.726,0.196,11.650
42211,1.608,0.000,11.493
42221,1.412,0.078,11.572
42231,1.334,0.078,11.611
42241,1.138,0.510,11.650
42251,1.020,0.000,11.611
42261,0.745,0.510,11.572
42271,0.392,-0.745,11.454
42281,-0.118,-1.177,11.336
42291,-0.118,-0.549,11.219
42301,-0.471,-0.353,11.336
42311,-0.275,-0.353,11.376
42321,0.235,-0.353,11.454
42331,0.745,0.000,11.454
42341,0.745,0.824,11.454
42351,0.941,-0.078,11.493
42361,0.745,0.314,11.533
42371,0.863,0.039,11.650
42381,1.138,0.196,11.690
42391,1.412,0.667,11.768
42401,1.765,0.588,11.729
42411,1.922,0.353,11.650
42421,1.922,0.314,11.650
42431,1.687,0.235,11.611
42441,1.530,0.039,11.572
42451,1.412,0.078,11.572
42461,1.412,-0.078,11.572
42471,1.177,0.510,11.650
42481,1.020,0.157,11.650
42491,0.628,0.471,11.611
42501,0.157,-0.588,11.454
42511,-0.157,-1.412,11.297
42521,-0.353,-0.785,11.336
42531,-0.157,-0.196,11.336
42541,0.314,-0.196,11.336
42551,0.824,0.039,11.415
42561,0.941,0.628,11.572
42571,0.981,0.000,11.415
42581,0.902,0.157,11.415
42591,0.863,0.431,11.533
42601,1.177,0.314,11.533
42611,1.530,0.549,11.611
42621,1.804,0.667,11.690
42631,1.922,0.353,11.650
42641,1.844,0.235,11.533
42651,1.844,0.196,11.572
42661,1.648,0.039,11.493
42671,1.451,0.039,11.572
42681,1.373,0.235,11.572
42691,1.373,0.000,11.572
42701,1.216,0.510,11.572
42711,1.098,0.431,11.533
42721,0.706,0.157,11.454
42731,0.157,-0.510,11.415
42741,-0.235,-1.255,11.297
42751,-0.392,-0.824,11.336
42761,-0.118,-0.196,11.493
42771,0.392,-0.039,11.415
42781,0.902,0.078,11.454
42791,1.020,0.353,11.454
42801,1.059,0.275,11.454
42811,1.138,0.078,11.376
42821,1.098,0.628,11.454
42831,1.334,0.431,11.493
42841,1.648,0.549,11.572
42851,1.804,0.667,11.690
42861,1.922,0.392,11.572
42871,1.804,0.235,11.572
42881,1.648,0.157,11.493
